isoform,seed,model,mean_hotspot_pair_distance_angstrom,maximum_hotspot_pair_distance_angstrom,nearest_hotspot_to_polylysine_angstrom,mean_hotspot_to_polylysine_angstrom
RAC1,202,0,9.007,17.084,61.216,69.518
RAC1,202,1,8.925,16.77,59.867,68.076
RAC1,202,2,9.138,17.383,58.806,67.069
RAC1,202,3,8.999,17.035,59.9,68.208
RAC1,202,4,9.03,17.149,61.398,69.68
RAC1,303,0,8.968,16.994,59.08,67.186
RAC1,303,1,9.028,17.187,62.529,71.068
RAC1,303,2,9.002,17.175,60.352,68.665
RAC1,303,3,9.03,16.987,60.421,68.617
RAC1,303,4,9.026,17.101,59.938,68.318
RAC1,404,0,8.975,17.086,62.518,70.665
RAC1,404,1,9.052,17.153,60.682,68.838
RAC1,404,2,9.057,17.155,58.076,66.323
RAC1,404,3,9.044,17.115,59.048,67.351
RAC1,404,4,9.051,17.126,59.797,68.093
RAC1B,202,0,8.999,17.131,59.204,67.757
RAC1B,202,1,9.002,17.147,59.345,67.701
RAC1B,202,2,8.969,17.001,59.585,67.715
RAC1B,202,3,9.014,17.047,60.92,69.317
RAC1B,202,4,8.984,16.824,59.515,67.861
RAC1B,303,0,9.004,17.066,61.036,69.134
RAC1B,303,1,9.108,17.312,59.619,67.859
RAC1B,303,2,8.933,16.858,58.089,66.4
RAC1B,303,3,8.934,16.923,59.562,67.708
RAC1B,303,4,8.957,17.001,62.357,70.474
RAC1B,404,0,9.053,17.278,59.754,68.072
RAC1B,404,1,9.051,17.139,60.001,68.3
RAC1B,404,2,8.983,16.94,58.622,66.928
RAC1B,404,3,9.024,17.11,62.009,70.35
RAC1B,404,4,8.998,16.943,59.899,68.121
